label,EconomicsUniqueWordCount,EntertainmentUniqueWordCount,InternationalUniqueWordCount,ScienceAndTechnologyUniqueWordCount,SportsUniqueWordCount,EconomicsRelatedWordCount,EntertainmentRelatedWordCount,ScienceAndTechnologyRelatedWordCount,SportsRelatedWordCount
0,70,37,49,46,28,3,0,2,1
0,12,10,10,7,5,1,0,0,0
0,21,18,6,11,6,0,0,0,0
0,56,13,25,35,10,0,0,1,0
0,94,49,57,58,43,13,0,0,0
0,47,12,11,14,10,4,0,0,0
0,119,28,59,92,33,32,0,0,0
0,75,14,16,28,18,2,0,1,2
0,51,15,30,39,11,1,0,4,0
0,62,47,60,60,28,1,0,9,0
0,11,16,10,16,7,0,2,2,0
0,81,55,74,67,37,1,0,3,1
0,25,31,31,30,19,5,0,2,0
0,7,9,7,8,4,0,0,1,0
0,22,13,11,12,8,4,0,0,0
0,60,5,11,14,13,4,0,0,0
0,43,10,9,18,10,6,0,0,0
0,7,8,9,11,5,1,0,3,0
0,21,7,13,15,6,3,0,0,0
0,126,23,43,68,23,16,0,1,0
0,143,42,70,83,42,14,0,2,0
0,66,4,6,15,16,2,0,0,0
0,14,5,13,12,6,1,0,0,0
0,44,9,23,15,17,2,0,0,0
0,60,30,42,49,25,0,1,2,4
0,5,2,3,2,2,0,0,0,0
0,4,2,3,3,2,0,0,0,0
0,60,42,41,29,41,4,0,0,0
0,46,32,27,25,28,7,0,1,0
0,88,17,22,29,19,7,0,2,0
0,148,16,23,51,29,16,0,2,0
0,5,6,4,4,3,0,0,0,0
0,118,79,106,89,59,6,0,3,0
0,6,8,4,8,8,0,0,0,0
0,63,3,6,16,12,4,0,0,0
0,14,6,6,10,5,5,0,1,0
0,7,6,11,9,6,0,0,0,0
0,10,10,7,5,4,0,0,0,0
0,67,6,8,17,17,3,0,0,0
0,24,20,25,22,15,0,0,0,0
0,31,14,19,15,13,2,0,0,0
0,14,8,6,11,7,2,0,1,0
0,25,4,14,11,5,2,0,0,0
0,78,23,22,25,27,4,0,0,1
0,62,7,8,16,19,2,0,0,0
0,13,6,6,10,2,2,1,2,0
0,54,21,40,33,23,6,0,2,0
0,6,6,2,3,2,0,0,0,0
0,15,6,3,4,6,3,0,0,0
0,55,15,12,17,16,4,0,0,0
0,47,12,10,14,10,4,0,0,0
0,30,19,21,25,11,5,0,0,0
0,43,10,10,18,10,6,0,0,0
0,60,28,40,48,24,2,0,0,0
0,16,9,13,7,6,1,0,0,0
0,13,7,7,4,5,1,0,0,0
0,49,11,12,20,11,6,0,0,0
0,7,4,2,1,1,1,0,0,0
0,96,22,25,38,23,9,0,3,0
0,50,16,14,20,21,3,0,0,0
0,48,14,29,34,11,6,0,0,0
0,31,22,25,24,12,7,0,1,0
0,97,20,36,45,24,9,0,1,0
0,35,30,38,37,18,1,0,0,0
0,10,11,12,13,7,2,0,0,0
0,53,12,11,13,20,3,0,0,0
0,14,9,11,8,3,1,0,0,0
0,8,4,5,3,3,1,0,0,0
0,157,29,38,51,46,13,0,0,0
0,97,26,44,50,29,4,0,2,0
0,82,19,33,53,17,0,0,3,0
0,61,12,10,17,20,8,0,0,0
0,9,14,16,15,7,1,0,0,0
0,57,14,20,20,20,0,0,0,0
0,21,16,19,30,13,1,0,2,0
0,9,9,5,5,1,0,0,0,0
0,111,63,84,87,51,10,1,1,0
0,43,9,8,15,9,6,0,0,0
0,146,67,86,101,48,3,0,1,0
0,42,25,20,20,23,13,0,1,0
0,12,6,11,13,4,1,0,0,0
0,65,15,23,21,22,3,0,0,0
0,98,7,11,28,22,4,0,0,0
0,99,43,64,75,43,28,0,1,1
0,22,10,9,8,7,2,0,0,0
0,48,39,45,37,27,2,0,0,0
0,96,27,31,50,30,5,0,1,0
0,16,7,8,8,3,2,0,0,0
0,78,62,77,86,40,6,0,5,0
0,61,37,57,60,41,4,0,0,0
0,89,32,34,52,25,15,0,1,1
0,11,9,8,11,8,0,0,0,0
0,85,23,19,24,31,5,0,0,0
0,14,7,9,18,5,1,0,0,0
0,40,22,27,34,13,8,0,0,0
0,27,14,27,17,20,1,0,7,0
0,127,29,31,55,32,12,0,0,0
0,85,8,12,20,21,2,0,0,0
0,125,43,63,71,27,7,0,3,0
0,20,11,13,14,6,1,0,0,0
0,93,13,17,29,18,6,0,0,0
0,7,3,6,4,2,1,0,0,0
0,61,24,37,50,16,2,0,5,0
0,22,15,15,16,6,1,0,0,0
0,29,16,26,27,16,0,0,4,0
0,100,17,27,45,16,13,0,1,0
0,56,27,30,49,20,7,0,0,0
0,11,8,8,7,3,0,0,0,0
0,14,4,7,9,5,5,0,1,0
0,8,7,7,7,7,3,0,0,1
0,92,8,14,21,23,2,0,0,0
0,10,5,11,9,6,2,0,2,0
0,41,27,31,47,14,8,1,0,0
0,119,13,27,36,21,16,0,0,0
0,11,12,8,7,6,0,0,0,1
0,23,15,34,21,10,0,0,6,0
0,58,5,5,18,14,5,0,0,0
0,103,24,39,49,29,3,0,0,0
